Bloco;Parcela;Faixa;Arvore;Fuste;Código;;X;Y;Familia;Nome_Cientifico;Nome_comum;CAP_2002;CAP_2005;CAP_2008;CAP_2011;CAP_2014;CAP_2017;CAP_2020;CAP_2026;HC;anoHC;HT;anoHT;Fuste;Estrato;Fitossanidade;Pos;Forma;Ano_Ingresso;info_Morta;Ano_Morta;Observacoes
1;1;3;718;1;0;FALSO;27;61;N.I.;N.I.;N.I.;;;;;;33;36.6;43;0;;0;;2;1;3;3;3;2017;0;;
1;1;3;719;1;0;FALSO;23;69.4;Myrtaceae;Myrcia hebepetala DC.;Caingá;;;;;;32.2;33.9;76.2;0;;0;;2;1;3;2;3;2017;0;;
1;1;3;761;1;0;FALSO;24;53;N.I.;N.I.;N.I.;;;;;;;32.1;36.9;0;;0;;2;1;3;3;4;2020;0;;
1;1;3;762;1;0;FALSO;30;63;Aquifoliaceae;Ilex paraguariensis A. St.-Hil.;Erva-mate;;;;;;;37.4;41.8;0;;0;;3;2;3;3;5;2020;0;;
1;1;3;814;1;0;FALSO;29.5;73.5;N.I.;N.I.;N.I.;;;;;;;;50;7;;0;;2;2;2;3;3;2026;0;;
1;1;3;815;2;2;FALSO;23.7;94.9;Simaroubaceae;Picrasma crenata (Vell.) Engl.;Tenente-José;;;;32;32;32.1;31.9;32.5;0;;0;;2;1;3;1;2;2011;0;;mudamos de número em 2026 pq estava sem placa
1;1;4;79;1;0;FALSO;35;99;Lauraceae;Ocotea porosa (Nees & Mart.) Barroso;Imbuia;260;272.2;276;276;276;279;281;285;0;;0;;3;2;2;3;4;2002;0;;
1;1;4;80;1;0;FALSO;39;96;Araucariaceae;Araucaria angustifolia (Bertol.) Kuntze;Araucária;234.5;238.1;242;242;242;242;242;252;0;;0;;2;3;3;5;5;2002;0;;
1;1;4;81;1;0;FALSO;37.5;67.4;Styracaceae;Styrax leprosus Hook. & Arn.;Canela-raposa;45;45.9;45.9;;;;;;;;;;2;2;2;0;0;2002;1;2011;
1;1;4;82;1;0;FALSO;30.9;92;Rubiaceae;Coussarea contracta (Walp.) Müll.Arg.;Cinzeiro-preto;40;44.1;47;49.7;52.9;56.2;60.9;67.1;0;;0;;2;1;3;2;3;2002;0;;
1;1;4;83;1;0;FALSO;31.8;92.3;Aquifoliaceae;Ilex paraguariensis A.St.-Hil.;Erva-mate;32;34;35;36.9;36.9;36.9;37;38;0;;0;;2;1;3;2;4;2002;0;;
